"venueid","lookupsymbol","securityexchange","currency","securityid","bloombergexchcode"
US_Composite,TRKNY US Equity,US,USD,US90011Q1004,US
AUS_Composite,TRYNA AU Equity,AX,AUD,AU0000203432,AU
US_Composite,TRZBF US Equity,US,USD,CA89351T4019,UN
US_Composite,TRZBF US Equity,US,USD,CA89351T4019,US
US_Composite,TSAKF US Equity,US,USD,KYG910801045,UN
US_Composite,TSAKF US Equity,US,USD,KYG910801045,US
US_Composite,TSAT US Equity,US,USD,CA8795123097,UN
US_Composite,TSAT US Equity,US,USD,CA8795123097,US
AUS_Composite,TRE AU Equity,AX,AUD,AU0000241416,AU
ESP_Composite,TRE SM Equity,ESP,EUR,ES0178165017,SM
US_Composite,TPL US Equity,US,USD,US88262P1021,UN
US_Composite,TPL US Equity,US,USD,US88262P1021,US
IN_Composite,TRUST IN Equity,IN,INR,INE0SWN01019,IN
IN_Composite,TRUSTWAV IN Equity,IN,INR,INE668Y01016,IN
US_Composite,TRCSY US Equity,US,USD,US89363L1070,UN
US_Composite,TRCSY US Equity,US,USD,US89363L1070,US
US_Composite,TRCY US Equity,US,USD,US8953641078,UN
US_Composite,TRCY US Equity,US,USD,US8953641078,US
US_Composite,TRDTF US Equity,US,USD,CA8959801009,UN
US_Composite,TRDTF US Equity,US,USD,CA8959801009,US
IN_Composite,TRPF IN Equity,IN,INR,INE642O01012,IN
US_Composite,TSCAF US Equity,US,USD,CA90068U1030,UN
US_Composite,TSCAF US Equity,US,USD,CA90068U1030,US
US_Composite,TSCDF US Equity,US,USD,GB00BLGZ9862,UN
US_Composite,TSCDF US Equity,US,USD,GB00BLGZ9862,US
US_Composite,TSCFY US Equity,US,USD,US88824T1051,UN
US_Composite,TSCFY US Equity,US,USD,US88824T1051,US
US_Composite,TRVN US Equity,US,USD,US89532E3071,UN
US_Composite,TRVN US Equity,US,USD,US89532E3071,US
US_Composite,TRWKF US Equity,US,USD,ZAE000028296,UN
US_Composite,TRWKF US Equity,US,USD,ZAE000028296,US
US_Composite,TRRPF US Equity,US,USD,CA89141P1071,UN
US_Composite,TRRPF US Equity,US,USD,CA89141P1071,US
US_Composite,TRRVF US Equity,US,USD,CA88105G1037,UN
US_Composite,TRRVF US Equity,US,USD,CA88105G1037,US
DEU_Composite,TT4 GR Equity,DEU,EUR,US8984021027,GR
US_Composite,TTEC US Equity,US,USD,US89854H1023,UN
US_Composite,TTEC US Equity,US,USD,US89854H1023,US
IN_Composite,TSTF IN Equity,IN,INR,INE552H01017,IN
DEU_Composite,TU1 GR Equity,DEU,EUR,ES0180850416,GR
DEU_Composite,TU9 GR Equity,DEU,EUR,AU000000TCL6,GR
US_Composite,TSORF US Equity,US,USD,AU0000077208,UN
US_Composite,TSORF US Equity,US,USD,AU0000077208,US
BZ_Composite,TSLA34 BZ Equity,BZ,BRL,BRTSLABDR008,BZ
US_Composite,TSLVF US Equity,US,USD,CA88651M1086,UN
US_Composite,TSLVF US Equity,US,USD,CA88651M1086,US
DEU_Composite,TU0 GR Equity,DEU,EUR,SE0006422390,GR
US_Composite,TSHA US Equity,US,USD,US8776191061,UN
US_Composite,TSHA US Equity,US,USD,US8776191061,US
IN_Composite,TSHF IN Equity,IN,INR,INE293C01019,IN
US_Composite,TSIOF US Equity,US,USD,KYG884931042,UN
US_Composite,TSIOF US Equity,US,USD,KYG884931042,US
US_Composite,TTRAF US Equity,US,USD,AU000000TLS2,UN
US_Composite,TTRAF US Equity,US,USD,AU000000TLS2,US
US_Composite,TSVNF US Equity,US,USD,GB00BYVX2X20,UN
US_Composite,TSVNF US Equity,US,USD,GB00BYVX2X20,US
US_Composite,TSWCF US Equity,US,USD,GB00BPJHZ015,UN
US_Composite,TSWCF US Equity,US,USD,GB00BPJHZ015,US
DEU_Composite,TTK GR Equity,DEU,EUR,DE0007446007,GR
IN_Composite,TTEN IN Equity,IN,INR,INE120V01014,IN
US_Composite,TSPCF US Equity,US,USD,AU000000CWY3,UN
US_Composite,TSPCF US Equity,US,USD,AU000000CWY3,US
US_Composite,TSPH US Equity,US,USD,US90089L1089,UN
US_Composite,TSPH US Equity,US,USD,US90089L1089,US
DEU_Composite,TSQ GR Equity,DEU,EUR,JP3635700002,GR
US_Composite,TSGMF US Equity,US,USD,JP3531800005,UN
US_Composite,TSGMF US Equity,US,USD,JP3531800005,US
US_Composite,TSGTF US Equity,US,USD,CNE1000004K1,UN
US_Composite,TSGTF US Equity,US,USD,CNE1000004K1,US
DEU_Composite,TUF GR Equity,DEU,EUR,DE000A161N22,GR
US_Composite,TUFUF US Equity,US,USD,TH0450010R15,UN
US_Composite,TUFUF US Equity,US,USD,TH0450010R15,US
MXN_Composite,TSLA* MM Equity,MX,MXN,US88160R1014,MM
IN_Composite,TTIL IN Equity,IN,INR,INE812Q01016,IN
CAN_Composite,TUNG CN Equity,TO,CAD,CA0303381077,CN
